Finger Type,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
Finger_Large,315.12,-7.98458143,7.106137677,19.76018853,31.51842216,46.57345277,57.35
Finger_Large,317.2,-7.989641016,7.119332086,19.76280684,31.53824591,46.6113834,57.41
Finger_Large,319.27,-8.04133518,7.080819782,19.69875374,31.47301631,46.51710176,57.34
Finger_Large,321.34,-8.073692026,7.064175201,19.66425825,31.44660489,46.48328976,57.33
Finger_Large,323.41,-8.048445497,7.112540375,19.71458841,31.53037305,46.62113744,57.49
Finger_Large,325.49,-8.119202003,7.05378179,19.62761026,31.43814156,46.48511534,57.38
Finger_Large,327.56,-8.160120188,7.028758489,19.58530433,31.40424907,46.44001375,57.36
Finger_Large,329.63,-8.126087034,7.088866701,19.65234806,31.51253902,46.61668985,57.56
Finger_Large,331.71,-8.139354289,7.096329272,19.65285703,31.53603071,46.66147283,57.63
Finger_Large,333.78,-8.161390176,7.094402005,19.64239414,31.54626901,46.68574376,57.68
Finger_Large,335.85,-8.153435166,7.126977522,19.67588047,31.61434635,46.80055785,57.82
Finger_Large,337.93,-8.201036248,7.0975883,19.63292686,31.58486105,46.76325016,57.81
Finger_Large,340,-8.250582396,7.066449931,19.58914167,31.5552137,46.72581052,57.8
Finger_Small_1,0,-14.62470443,-7.485200392,-3.780169623,-1.456474979,0.553480442,0
Finger_Small_1,2.56,-14.31856,-7.078313472,-3.280779437,-0.859581653,1.26033157,2.58
Finger_Small_1,5.11,-13.897162,-6.517137748,-2.600897211,-0.037973151,2.250532006,3.49
Finger_Small_1,7.67,-13.44567293,-5.908691328,-1.866892418,0.857728863,3.339202294,4.78
Finger_Small_1,10.23,-13.17661863,-5.528015321,-1.395028866,1.440292461,4.042548706,6.21
Finger_Small_1,12.78,-13.16977954,-5.48428298,-1.309629749,1.551440842,4.158101248,7.13
Finger_Small_1,15.34,-12.95279438,-5.162496865,-0.901611474,2.062955547,4.778298831,7.26
Finger_Small_1,17.89,-12.7333735,-4.832043783,-0.481345687,2.59419311,5.42681938,8.07
Finger_Small_1,20.45,-12.77800258,-4.850518586,-0.463788133,2.626145942,5.447151952,8.92
Finger_Small_1,23.01,-12.64622643,-4.630596177,-0.168172353,3.007271393,5.910683485,8.92
Finger_Small_1,25.56,-12.47238726,-4.349255901,0.201368108,3.484738618,6.499190352,9.52
Finger_Small_1,28.12,-12.30121917,-4.066823652,0.574545961,3.97065219,7.101689408,10.29
Finger_Small_1,30.68,-12.11327281,-3.756554019,0.98269618,4.50491871,7.769411431,11.08
Finger_Small_1,33.23,-11.90478999,-3.412289507,1.433759853,5.098432947,8.516833251,11.96
Finger_Small_1,35.79,-11.71681715,-3.091332668,1.860550716,5.665381486,9.234198773,12.95
Finger_Small_1,38.35,-11.71201055,-3.024817887,1.98936124,5.851232986,9.462979477,13.9
Finger_Small_1,40.9,-11.63802309,-2.858080075,2.238453582,6.194161643,9.896270298,14.18
Finger_Small_1,43.46,-11.59612318,-2.734857226,2.43745966,6.4739231,10.24965535,14.74
Finger_Small_1,46.02,-11.55241515,-2.607234846,2.643043348,6.763740828,10.61784462,15.19
Finger_Small_1,48.57,-11.39527687,-2.310698368,3.054833524,7.326158075,11.34371249,15.66
Finger_Small_1,51.13,-11.47068529,-2.353898498,3.056823445,7.351516909,11.36998446,16.62
Finger_Small_1,53.68,-11.44172365,-2.241866227,3.248279391,7.627246666,11.72478856,16.62
Finger_Small_1,56.24,-11.32807578,-2.000171391,3.601065855,8.118614955,12.36488599,17.07
Finger_Small_1,58.8,-11.22685071,-1.773948539,3.937867351,8.591381687,12.98361815,17.91
Finger_Small_1,61.35,-11.20708014,-1.668624492,4.127290986,8.869463312,13.34752739,18.72
Finger_Small_1,63.91,-11.16220661,-1.523069585,4.368716668,9.218464373,13.80708268,19.18
Finger_Small_1,66.47,-11.07678261,-1.312754315,4.694061473,9.681954141,14.42106595,19.77
Finger_Small_1,69.02,-11.02903513,-1.15816308,4.951953174,10.05645632,14.91905178,20.57
Finger_Small_1,71.58,-11.04648866,-1.104278383,5.082840571,10.26012914,15.19045371,21.21
Finger_Small_1,74.14,-11.09552148,-1.100851303,5.148615699,10.3754827,15.34437238,21.54
Finger_Small_1,76.69,-11.09833484,-1.023399178,5.310703195,10.62212828,15.67517463,21.71
Finger_Small_1,79.25,-11.0006098,-0.782665849,5.688265167,11.16391927,16.40498965,22.12
Finger_Small_1,81.8,-11.08679159,-0.83883189,5.676690411,11.17415511,16.41962315,23.07
Finger_Small_1,84.36,-11.01366367,-0.634224011,6.011751472,11.66015873,17.0782524,23.05
Finger_Small_1,86.92,-11.0787367,-0.657073842,6.043700428,11.72983679,17.17433922,23.9
Finger_Small_1,89.47,-11.04699817,-0.518704063,6.293568577,12.10010051,17.67939903,23.99
Finger_Small_1,92.03,-11.06511614,-0.463329707,6.431974094,12.3168574,17.97698197,24.63
Finger_Small_1,94.59,-11.01582392,-0.294012512,6.727805906,12.75195563,18.57393998,24.99
Finger_Small_1,97.14,-11.02046472,-0.215147196,6.900829831,13.01735391,18.94056648,25.75
Finger_Small_1,99.7,-10.95515753,-0.016818997,7.242491445,13.51765056,19.63124039,26.2
Finger_Small_1,102.26,-10.94838676,0.081780803,7.446204254,13.82637303,20.06055082,27.08
Finger_Small_1,104.81,-10.90075135,0.25050152,7.751643832,14.27733623,20.68789549,27.61
Finger_Small_1,107.37,-10.92074816,0.303135626,7.89230129,14.49834778,20.99881818,28.4
Finger_Small_1,109.92,-10.93434403,0.366363913,8.048648129,14.74118862,21.34085577,28.77
Finger_Small_1,112.48,-11.01044024,0.319907083,8.044590664,14.7589925,21.37077556,29.18
Finger_Small_1,115.04,-11.02059946,0.386692806,8.205064552,15.0068303,21.72086727,29.18
Finger_Small_1,117.59,-11.0573278,0.40589212,8.295239843,15.15571956,21.93376146,29.6
Finger_Small_1,120.15,-11.10733696,0.39970717,8.346491121,15.24932727,22.06976185,29.84
Finger_Small_1,122.71,-11.14240866,0.418147793,8.433122415,15.39205849,22.27460847,29.98
Finger_Small_1,125.26,-11.11115216,0.555636837,8.699769383,15.7881732,22.83515604,30.21
Finger_Small_1,127.82,-11.0639048,0.720478209,9.009949645,16.24541189,23.48350931,30.9
Finger_Small_1,130.38,-11.07428177,0.780317677,9.159955859,16.47643778,23.81495284,31.7
Finger_Small_1,132.93,-11.0726251,0.860647548,9.34168476,16.75181255,24.20977192,32.09
Finger_Small_1,135.49,-11.12573306,0.840775537,9.366662545,16.80544444,24.29170537,32.56
Finger_Small_1,138.05,-11.17092072,0.832478938,9.407590836,16.8807771,24.40428033,32.63
Finger_Small_1,140.6,-11.13442233,0.971892168,9.680725751,17.28376417,24.98174614,32.74
Finger_Small_1,143.16,-11.1902568,0.940704935,9.682777432,17.30296295,25.01505893,33.44
Finger_Small_1,145.71,-11.16924981,1.048715784,9.905707509,17.63391674,25.49192442,33.45
Finger_Small_1,148.27,-11.21114522,1.039422243,9.939721514,17.69708628,25.58797527,34.02
Finger_Small_1,150.83,-11.21924016,1.090140144,10.06875457,17.89397728,25.874836,34.11
Finger_Small_1,153.38,-11.17975832,1.226744406,10.33685861,18.28701125,26.44280247,34.44
Finger_Small_1,155.94,-11.17857738,1.29096554,10.48678083,18.51222538,26.77159114,35.12
Finger_Small_1,158.5,-11.13948399,1.421589333,10.74486087,18.88947604,27.31934037,35.5
Finger_Small_1,161.05,-11.12428853,1.506841841,10.92806709,19.16025284,27.7151628,36.15
Finger_Small_1,163.61,-11.12633571,1.559191715,11.05581231,19.35208254,27.99786035,36.61
Finger_Small_1,166.17,-11.1427149,1.583770944,11.13577521,19.47581995,28.18256292,36.93
Finger_Small_1,168.72,-11.13731332,1.645537744,11.27636637,19.68443336,28.49008964,37.13
Finger_Small_1,171.28,-11.11371235,1.737353923,11.46592782,19.96128817,28.89685145,37.48
Finger_Small_1,173.83,-11.1508506,1.719563457,11.47006009,19.97632622,28.92462137,37.95
Finger_Small_1,176.39,-11.15913985,1.751061387,11.55520562,20.10485686,29.11685746,37.96
Finger_Small_1,178.95,-11.1018668,1.896600945,11.83153433,20.50178664,29.69935106,38.17
Finger_Small_1,181.5,-11.04575959,2.036331398,12.09725824,20.88262357,30.2598246,38.85
Finger_Small_1,184.06,-10.99651936,2.1606906,12.33577824,21.22415064,30.76416685,39.5
Finger_Small_1,186.62,-11.01506632,2.167709099,12.37334516,21.28345132,30.85667968,40.08
Finger_Small_1,189.17,-11.03336324,2.173432599,12.40686911,21.33655205,30.94003111,40.17
Finger_Small_1,191.73,-11.02300384,2.226281285,12.51888846,21.49903391,31.18344214,40.25
Finger_Small_1,194.29,-11.01655541,2.270628413,12.61463383,21.63815125,31.39275558,40.52
Finger_Small_1,196.84,-11.01574034,2.303904165,12.689839,21.74803192,31.55928121,40.75
Finger_Small_1,199.4,-11.0161381,2.333418409,12.75683928,21.84593695,31.70821293,40.93
Finger_Small_1,201.95,-10.99355007,2.400437214,12.8863684,22.03077429,31.98500797,41.09
Finger_Small_1,204.51,-11.01406526,2.39297191,12.88685161,22.03485394,31.99594327,41.4
Finger_Small_1,207.07,-10.9681223,2.49630076,13.07519322,22.30086085,32.39254247,41.4
Finger_Small_1,209.62,-10.96861953,2.519974384,13.12575904,22.3741133,32.50530231,41.85
Finger_Small_1,212.18,-10.94137701,2.588758865,13.2518607,22.55231132,32.77296267,41.97
Finger_Small_1,214.74,-10.90950604,2.663585353,13.38664016,22.7421208,33.05801711,42.27
