Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS30DS30_0_2vsDS10DS30_6_1,119,-12.19445174,-1.055674737,6.533342245,11.86022636,17.13143807,24.28386122
DS30DS30_0_2vsDS10DS30_6_1,127.5,-11.87932495,-0.2253634,7.738749953,13.44540959,19.17498754,26.0027346
DS30DS30_0_2vsDS10DS30_6_1,136,-11.88887425,0.044786201,8.287261549,14.18070543,20.1585651,27.55926995
DS30DS30_0_2vsDS10DS30_6_1,144.5,-11.82202917,0.288770729,8.785352859,14.88735338,21.16124124,28.94391795
DS30DS30_0_2vsDS10DS30_6_1,153,-11.54509958,0.871277821,9.768930405,16.25290279,22.83236813,30.94927023
DS30DS30_0_2vsDS10DS30_6_1,161.5,-11.37321224,1.481859844,10.71431077,17.53250853,24.48439645,33.05966478
DS30DS30_0_2vsDS10DS30_6_1,170,-11.27771927,1.739404373,11.1917756,18.13411422,25.27698806,33.89045359
DS30DS30_0_2vsDS10DS30_6_1,178.5,-11.22997279,1.954645518,11.60239535,18.7452692,26.12687546,35.38969314
DS30DS30_0_2vsDS10DS30_6_1,187,-11.10583193,2.360270989,12.299494,19.71929745,27.37783331,36.97487638
DS30DS30_0_2vsDS10DS30_6_1,195.5,-10.94349389,2.812659366,13.01569124,20.702875,28.59059398,38.30222861
DS30DS30_0_2vsDS10DS30_6_1,204,-10.84800092,3.077423163,13.4358603,22.01112863,30.68188993,39.19031319
DS30DS30_0_2vsDS10DS30_6_1,212.5,-10.94349389,3.164866072,13.69369131,22.6413822,31.56042522,40.01155269
DS30DS30_0_2vsDS10DS30_6_1,221,-10.80980373,3.39078333,14.13295894,22.24986105,32.66814362,41.26251054
DS30DS30_0_2vsDS10DS30_6_1,229.5,-10.73340936,3.754840714,14.68681815,23.08064985,33.79496062,42.30338387
DS30DS30_0_2vsDS10DS30_6_1,238,-10.68566288,3.952721237,15.02104353,23.48172031,34.31062263,43.02913042
DS30DS30_0_2vsDS10DS30_6_1,246.5,-10.6092685,3.982285859,15.19293086,23.70135412,34.77853817,43.54479243
DS30DS30_0_2vsDS10DS30_6_1,255,-10.71431077,4.142618549,15.44121258,24.13107247,35.47563681,44.07000374
DS30DS30_0_2vsDS10DS30_6_1,263.5,-10.6092685,4.370646202,15.82318444,24.6276359,36.13453828,44.83394747
DS30DS30_0_2vsDS10DS30_6_1,272,-10.56152202,4.480424916,16.02371967,24.93321338,36.53560873,45.43555316
DS30DS30_0_2vsDS10DS30_6_1,280.5,-10.50422624,4.562319683,16.14786053,25.12419932,36.9080313,45.77932783
DS30DS30_0_2vsDS10DS30_6_1,289,-10.43738117,4.647547155,16.28155068,25.31518525,36.98442568,46.21859547
DS30DS30_0_2vsDS10DS30_6_1,297.5,-10.38963469,4.749724628,16.47253661,25.52526978,37.47143981,46.60056734
