Finger Type,Pressure,Theta6,,Configuration,Pressure,Theta6
Finger_Small_1,217.29,42.59,,DS30DS30_0_2,217.484375,41.32162762
Finger_Small_1,219.85,42.91,,DS30DS30_0_2,219.9375,41.72565143
Finger_Small_1,222.41,43.21,,DS30DS30_0_2,222.859375,42.11597893
Finger_Small_1,224.96,43.53,,DS30DS30_0_2,225.25,42.42752473
Finger_Small_1,227.52,43.91,,DS30DS30_0_2,227.375,42.69967968
Finger_Small_1,230.08,44.28,,DS30DS30_0_2,229.5,42.97183463
Finger_Small_1,232.63,44.49,,DS30DS30_0_2,232.6875,43.27263748
Finger_Small_1,235.19,44.34,,DS30DS30_0_2,235.875,43.57344032
Finger_Small_1,237.74,44.33,,DS30DS30_0_2,238,43.77397555
Finger_Small_1,240.30,44.64,,DS30DS30_0_2,240.125,43.88856711
Finger_Small_1,242.86,44.82,,DS30DS30_0_2,242.25,44.00315867
Finger_Small_1,245.41,45.07,,DS30DS30_0_2,245.4375,44.175046
Finger_Small_1,247.97,45.40,,DS30DS30_0_2,248.359375,44.34693334
Finger_Small_1,250.53,45.12,,DS30DS30_0_2,250.75,44.49017279
Finger_Small_1,253.08,45.59,,DS30DS30_0_2,252.875,44.6190883
Finger_Small_1,255.64,45.35,,DS30DS30_0_2,255,44.7480038
Finger_Small_1,258.20,45.70,,DS30DS30_0_2,258.1875,45.04880664
Finger_Small_1,260.75,45.33,,DS30DS30_0_2,261.109375,45.32454258
Finger_Small_1,263.31,45.42,,DS30DS30_0_2,263.5,45.55014471
Finger_Small_1,265.86,45.75,,DS30DS30_0_2,265.625,45.70770811
Finger_Small_1,268.42,45.75,,DS30DS30_0_2,267.75,45.8652715
Finger_Small_1,270.98,45.64,,DS30DS30_0_2,270.9375,46.10161659
Finger_Small_1,273.53,45.64,,DS30DS30_0_2,273.859375,46.24664653
Finger_Small_1,276.09,45.87,,DS30DS30_0_2,276.25,46.35228563
Finger_Small_1,278.65,46.19,,DS30DS30_0_2,278.375,46.4382293
Finger_Small_1,281.20,46.41,,DS30DS30_0_2,281.5625,46.57430677
Finger_Small_1,283.76,46.60,,DS30DS30_0_2,283.6875,46.67457439
Finger_Small_1,286.32,46.41,,DS30DS30_0_2,286.609375,46.81244236
Finger_Small_1,288.87,46.63,,DS30DS30_0_2,288.8671875,46.9189767
Finger_Small_1,291.43,46.34,,DS30DS30_0_2,291.125,47.02551104
Finger_Small_1,293.98,46.85,,DS30DS30_0_2,293.25,47.12577865
Finger_Small_1,296.54,46.97,,DS30DS30_0_2,296.4375,47.27618007
Finger_Small_1,299.10,46.96,,DS30DS30_0_2,299.359375,47.37107621
Finger_Small_1,301.65,44.69,,DS30DS30_0_2,301.75,47.44090544
Finger_Small_1,304.21,44.79,,DS30DS30_0_2,304.2734375,47.50894418
Finger_Small_1,306.77,45.37,,DS30DS30_0_2,307.0625,47.56982094
Finger_Small_1,309.32,45.40,,DS30DS30_0_2,309.1875,47.59846883
Finger_Small_1,311.88,45.98,,DS30DS30_0_2,312.109375,47.6441264
Finger_Small_1,314.44,45.94,,DS30DS30_0_2,314.5,47.67008855
Finger_Small_1,316.99,45.88,,DS30DS30_0_2,316.625,47.72738433
Finger_Small_1,319.55,46.16,,DS30DS30_0_2,319.8125,47.813328
Finger_Small_1,322.11,46.02,,DS30DS30_0_2,322.734375,47.88494773
Finger_Small_1,324.66,46.26,,DS30DS30_0_2,324.859375,47.93508154
Finger_Small_1,327.22,47.12,,DS30DS30_0_2,327.25,47.98521534
Finger_Small_1,329.77,47.10,,DS30DS30_0_2,329.375,48.02818718
Finger_Small_1,332.33,46.94,,DS30DS30_0_2,332.03125,48.06041605
Finger_Small_1,334.89,46.38,,DS30DS30_0_2,335.75,48.07115901
Finger_Small_1,337.44,46.91,,DS30DS30_0_2,337.875,48.07115901
Finger_Small_1,340.00,46.85,,DS30DS30_0_2,340,48.07115901
,,,,,,
Finger_Small_2,0.00,1.045845868,,DS30DS30_0_2,0,-3.673805382
Finger_Small_2,4.15,1.628773161,,DS30DS30_0_2,4.25,-3.462383956
Finger_Small_2,8.29,2.812823363,,DS30DS30_0_2,8.5,-3.25096253
Finger_Small_2,12.44,3.756320454,,DS30DS30_0_2,12.75,-1.375299244
Finger_Small_2,16.59,4.071213471,,DS30DS30_0_2,16.734375,0.364743142
Finger_Small_2,20.73,4.14382537,,DS30DS30_0_2,20.71875,2.012825801
Finger_Small_2,24.88,4.468113652,,DS30DS30_0_2,24.4375,3.311155327
Finger_Small_2,29.02,5.244201135,,DS30DS30_0_2,29.21875,3.970955619
Finger_Small_2,33.17,5.23056909,,DS30DS30_0_2,33.46875,4.038636258
Finger_Small_2,37.32,5.92890538,,DS30DS30_0_2,37.1875,4.626490956
Finger_Small_2,41.46,7.325627181,,DS30DS30_0_2,41.4375,5.556079169
Finger_Small_2,45.61,11.34818576,,DS30DS30_0_2,45.6875,6.80065093
Finger_Small_2,49.76,14.06214264,,DS30DS30_0_2,49.9375,8.314799333
Finger_Small_2,53.90,15.45027588,,DS30DS30_0_2,54.1875,9.962303663
