Finger Type,Pressure,Theta6,,Configuration,Pressure,Theta6,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,151.34,30.23,,DS30DS30_0_1,151.9375,34.81792901,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,153.41,30.21,,DS30DS30_0_1,153,35.06501706,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,155.49,30.14,,DS30DS30_0_1,155.125,35.59500302,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,157.56,30.16,,DS30DS30_0_1,157.25,36.12498898,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,159.63,30.27,,DS30DS30_0_1,159.375,36.65497494,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,161.71,30.25,,DS30DS30_0_1,161.5,37.1849609,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,163.78,30.28,,DS30DS30_0_1,163.625,37.54305953,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,165.85,30.28,,DS30DS30_0_1,165.75,37.90115815,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,167.93,30.78,,DS30DS30_0_1,167.875,38.25925677,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,170,30.87,,DS30DS30_0_1,170,38.61735539,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,172.07,31.09,,DS30DS30_0_1,172.125,38.98977796,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,174.15,31.83,,DS30DS30_0_1,174.25,39.36220053,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,176.22,31.77,,DS30DS30_0_1,176.375,39.73462309,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,178.29,32.15,,DS30DS30_0_1,178.5,40.10704566,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,180.37,32.83,,DS30DS30_0_1,180.625,40.57973584,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,182.44,33.33,,DS30DS30_0_1,182.75,41.05242602,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,184.51,34.32,,DS30DS30_0_1,184.875,41.5251162,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,186.59,34.96,,DS30DS30_0_1,187,41.99780638,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,188.66,35.09,,DS30DS30_0_1,189.125,42.48482051,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,190.73,35.09,,DS30DS30_0_1,190.1875,42.72832757,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,192.8,35.09,,DS30DS30_0_1,192.3125,43.14014099,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,194.88,35.08,,DS30DS30_0_1,194.4375,43.5519544,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,196.95,35.7,,DS30DS30_0_1,197.625,44.23234178,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,199.02,36.35,,DS30DS30_0_1,199.75,44.51882068,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,201.1,37.25,,DS30DS30_0_1,201.875,44.80529958,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,203.17,37.87,,DS30DS30_0_1,202.9375,44.90556719,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,205.24,38.31,,DS30DS30_0_1,205.0625,45.17056017,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,207.32,39.2,,DS30DS30_0_1,207.1875,45.43555315,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,209.39,40.22,,DS30DS30_0_1,209.3125,45.71307959,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,211.46,40.87,,DS30DS30_0_1,211.4375,45.99060602,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,213.54,41.7,,DS30DS30_0_1,213.5625,46.26813245,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,215.61,41.7,,DS30DS30_0_1,215.6875,46.54565888,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,217.68,42.47,,DS30DS30_0_1,217.8125,46.87152863,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,219.76,43.07,,DS30DS30_0_1,219.9375,47.19739837,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,221.83,44.18,,DS30DS30_0_1,221,47.44090544,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,223.9,44.92,,DS30DS30_0_1,223.125,47.71306039,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,225.98,46.35,,DS30DS30_0_1,225.25,47.98521534,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,228.05,47.03,,DS30DS30_0_1,228.4375,48.43641961,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,230.12,47.79,,DS30DS30_0_1,229.5,48.52952525,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,232.2,48.5,,DS30DS30_0_1,232.6875,49.02370135,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,234.27,49.39,,DS30DS30_0_1,234.8125,49.28869433,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,236.34,49.96,,DS30DS30_0_1,236.9375,49.55368731,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,238.41,50.49,,DS30DS30_0_1,238,49.84732818,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,240.49,50.49,,DS30DS30_0_1,240.125,50.00489157,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,242.56,51.04,,DS30DS30_0_1,242.25,50.16245496,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,244.63,51.33,,DS30DS30_0_1,244.375,50.32001836,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,246.71,51.43,,DS30DS30_0_1,246.5,50.47758175,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,248.78,51.75,,DS30DS30_0_1,248.625,50.73541276,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,250.85,52.39,,DS30DS30_0_1,250.75,50.99324377,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,252.93,52.9,,DS30DS30_0_1,252.875,51.25107477,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,255,53.49,,DS30DS30_0_1,255,51.50890578,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,257.07,54.03,,DS30DS30_0_1,257.125,51.72376496,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,259.15,54.32,,DS30DS30_0_1,259.25,51.93862413,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,261.22,54.52,,DS30DS30_0_1,261.375,52.1534833,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,263.29,54.99,,DS30DS30_0_1,263.5,52.36834247,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,265.37,54.99,,DS30DS30_0_1,265.625,52.45428614,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,267.44,55.34,,DS30DS30_0_1,267.75,52.54022981,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,269.51,55.77,,DS30DS30_0_1,269.875,52.62617348,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,271.59,56.04,,DS30DS30_0_1,272,52.71211715,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,273.66,56.5,,DS30DS30_0_1,274.125,52.78373688,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,275.73,56.72,,DS30DS30_0_1,275.1875,52.81954674,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,277.8,56.85,,DS30DS30_0_1,277.3125,52.92339534,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,279.88,57.11,,DS30DS30_0_1,280.5,52.99859605,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,281.95,57.15,,DS30DS30_0_1,282.625,53.15615944,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,284.02,57.18,,DS30DS30_0_1,284.75,53.31372284,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,286.1,57.12,,DS30DS30_0_1,285.8125,53.40324749,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,288.17,57.15,,DS30DS30_0_1,287.9375,53.57155384,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,290.24,57.16,,DS30DS30_0_1,290.0625,53.7398602,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,292.32,57.28,,DS30DS30_0_1,292.1875,53.90816655,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,294.39,57.41,,DS30DS30_0_1,294.3125,54.06214896,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,296.46,57.45,,DS30DS30_0_1,296.4375,54.21613136,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,298.54,57.59,,DS30DS30_0_1,298.5625,54.37011377,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,300.61,57.54,,DS30DS30_0_1,300.6875,54.52409618,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,302.68,57.5,,DS30DS30_0_1,302.8125,54.53842012,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,304.76,57.42,,DS30DS30_0_1,304.9375,54.55274407,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,306.83,57.41,,DS30DS30_0_1,307.0625,54.56706801,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,308.9,57.4,,DS30DS30_0_1,309.1875,54.58139196,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,310.98,57.26,,DS30DS30_0_1,311.3125,54.5437916,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,313.05,57.36,,DS30DS30_0_1,313.4375,54.50619125,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,315.12,57.35,,DS30DS30_0_1,315.5625,54.46859089,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,317.2,57.41,,DS30DS30_0_1,317.6875,54.43099054,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,319.27,57.34,,DS30DS30_0_1,319.8125,54.54021062,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,321.34,57.33,,DS30DS30_0_1,321.9375,54.6494307,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,323.41,57.49,,DS30DS30_0_1,323,54.71746943,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,325.49,57.38,,DS30DS30_0_1,325.125,54.81773705,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,327.56,57.36,,DS30DS30_0_1,327.25,54.91800466,,,,,,,,,,,,,,,,,,,,,,
