Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
E30DS30_6_3_VS_DS10DS10_0_1,236,-8.995437384,1.848442921,9.267592336,16.41524083,22.58886107,28.59059398
E30DS30_6_3_VS_DS10DS10_0_1,240,-8.909493714,2.02128051,9.382183895,16.88793101,23.39100199,29.19219966
E30DS30_6_3_VS_DS10DS10_0_1,244,-8.766254266,2.193081905,9.597043068,17.2030578,23.86369217,29.43570672
E30DS30_6_3_VS_DS10DS10_0_1,248,-8.708958486,2.362749032,9.95514169,17.54683248,24.27908657,29.86542507
E30DS30_6_3_VS_DS10DS10_0_1,252,-8.580042982,2.545837695,10.08405719,17.83331137,24.7374528,30.22352369
E30DS30_6_3_VS_DS10DS10_0_1,256,-8.537071147,2.73630319,10.35621215,18.16276211,24.92366409,30.6102702
E30DS30_6_3_VS_DS10DS10_0_1,260,-8.537071147,2.950446166,10.74295866,18.50653678,25.51094583,31.16890406
E30DS30_6_3_VS_DS10DS10_0_1,264,-8.494099313,3.113739138,10.914846,18.8646354,25.99795995,31.79915763
E30DS30_6_3_VS_DS10DS10_0_1,268,-8.436803533,3.229476612,11.18700095,19.22273403,26.34173463,32.44373515
E30DS30_6_3_VS_DS10DS10_0_1,272,-8.27924014,3.408669163,11.4591559,19.52353687,26.80010087,32.84480561
E30DS30_6_3_VS_DS10DS10_0_1,276,-8.178972525,3.581988896,11.7456348,19.91028338,27.2584671,33.23155212
E30DS30_6_3_VS_DS10DS10_0_1,280,-8.136000691,3.755881587,11.96049397,20.23973411,27.61656573,33.87612964
E30DS30_6_3_VS_DS10DS10_0_1,284,-8.121676746,4.060122176,12.24697287,20.58350879,27.91736857,34.50638321
E30DS30_6_3_VS_DS10DS10_0_1,288,-8.035733077,4.127301477,12.50480388,20.79836796,28.2468193,34.83583394
E30DS30_6_3_VS_DS10DS10_0_1,292,-7.978437297,4.467208689,12.76263489,21.14214264,28.70518554,35.27987624
E30DS30_6_3_VS_DS10DS10_0_1,296,-7.978437297,4.691091948,13.02046589,21.48591732,29.04896021,35.83851009
E30DS30_6_3_VS_DS10DS10_0_1,300,-7.820873904,4.834904354,13.23532507,21.8010441,29.43570672,36.21093265
E30DS30_6_3_VS_DS10DS10_0_1,304,-7.677634455,4.951358026,13.47883213,22.087523,29.92272085,36.66929889
E30DS30_6_3_VS_DS10DS10_0_1,308,-7.677634455,5.079987051,13.75098708,22.51724135,30.1948758,37.22793274
E30DS30_6_3_VS_DS10DS10_0_1,312,-7.63466262,5.29857045,13.96584626,22.74642447,30.6102702,37.68629897
