Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS10DS10_0_1,324,-7.891147404975382,3.835269282708323,13.388847625538862,21.477437799099715,29.516285399897573,36.21093265
DS10DS10_0_1,328,-7.832681460814122,3.9401622573185975,13.547614860737774,21.67791381246715,29.7727717464954,36.49741155
DS10DS10_0_1,332,-7.735427919150572,4.133659531668085,13.843411939456303,22.065140937213066,30.269161775709218,37.07036934
DS10DS10_0_1,336,-7.645559878454582,4.31004264083985,14.111961423915595,22.414738117371964,30.71767100690486,37.58603136
DS10DS10_0_1,340,-7.593550670180939,4.398585066414171,14.243845626706808,22.577015922011977,30.926333652302734,37.81521448
DS10DS10_0_1,344,-7.525839134280286,4.5228302406747325,14.430556711384547,22.81374812519155,31.230906883430062,38.15898916
DS10DS10_0_1,348,-7.457736804467093,4.647450835674952,14.61734950308967,23.050083595827218,31.53540635145973,38.50276383
DS10DS10_0_1,352,-7.374246327521624,4.80781372278461,14.858852900954517,23.360806136969586,31.93582276424957,38.96113007
DS10DS10_0_1,356,-7.298012851681677,4.950849565084475,15.073023467220484,23.63363196492513,32.28810268493272,39.36220053
DS10DS10_0_1,360,-7.2215151648818505,5.094218478316618,15.287166301004799,23.90592380471379,32.6402091214896,39.76327098
DS10DS10_0_1,364,-7.129993231922416,5.273359755882463,15.555830856941867,24.25247552548786,33.088195739713385,40.278933
DS10DS10_0_1,368,-7.082492182185334,5.346376781843668,15.660670192111965,24.37385466611182,33.24759450235684,40.45082034
DS10DS10_0_1,372,-7.005236633774306,5.490576647489066,15.874554486676722,24.644234370373212,33.59889026269736,40.85189079
DS10DS10_0_1,376,-6.92056223280005,5.652775756023175,16.115528970865068,24.951297727999382,33.99793313825427,41.31025703
DS10DS10_0_1,380,-6.835838780714109,5.81520459010941,16.35626708877666,25.257563439176106,34.39660532800078,41.76862327
DS10DS10_0_1,384,-6.758231995533526,5.960045685586188,16.569511479312244,25.525547955004413,34.74673359852573,42.16969372
DS10DS10_0_1,388,-6.687596067336885,6.087235455605656,16.75527480267788,25.75519413587128,35.04821637049031,42.5134684
DS10DS10_0_1,392,-6.616761695583893,6.214520407046097,16.940752435284292,25.983869435402255,35.349108738974756,42.85724308
DS10DS10_0_1,396,-6.538809070095818,6.359693498604221,17.153074184297477,26.248938280119614,35.69755100675981,43.25831353
DS10DS10_0_1,400,-6.467704971015698,6.487086281535628,17.337847439925714,26.47549206275342,35.99712046779514,43.60208821
DS10DS10_2_0,0,-13.563527213895282,-8.481305374379984,-6.172037693751309,-4.87399756871927,-4.036457287632653,-3.46925945
DS10DS10_2_0,4,-13.602651211331597,-8.591928680679727,-6.361034422618732,-5.146501384841454,-4.39011815462293,-3.9029885
DS10DS10_2_0,8,-13.656513462803078,-8.736614124452249,-6.603853209215197,-5.493520160406417,-4.839165990020909,-4.451882068
DS10DS10_2_0,12,-13.712898751166453,-8.887197840656308,-6.856428678950969,-5.853663887497475,-5.305124816489605,-5.022548032
DS10DS10_2_0,16,-13.749840105169799,-8.99371272808036,-7.03968172063023,-6.116927949479538,-5.647466370218649,-5.445963843
DS10DS10_2_0,20,-13.805569845645667,-9.143210161810302,-7.2912706327771115,-6.474867880304828,-6.110873970163282,-6.016056849
DS10DS10_2_0,24,-13.839080397055229,-9.242673567745438,-7.463681507657311,-6.722349551862187,-6.433311898455573,-6.417127305
DS10DS10_2_0,28,-13.887199376616127,-9.37551729511086,-7.6893592183291535,-7.043543546947969,-6.850005299257238,-6.932789321
DS10DS10_2_0,32,-13.927624182153155,-9.491370408187873,-7.8881685783126105,-7.327087224342572,-7.218701695624136,-7.391155557
DS10DS10_2_0,36,-13.967789959222545,-9.607048704167518,-8.08685032467821,-7.610168087497183,-7.586885607576963,-7.849521793
DS10DS10_2_0,40,-14.015134690614499,-9.739161029514008,-8.312018973244898,-7.929729596225327,-8.001731555181019,-8.365183809
DS10DS10_2_0,44,-14.054790158683513,-9.854503842513285,-8.510485526966864,-8.211979538303313,-8.368974443918752,-8.823550045
DS10DS10_2_0,48,-14.09419248612044,-9.969730910035654,-8.708890447588749,-8.493913521508022,-8.735854221513089,-9.281916281
DS10DS10_2_0,52,-14.140808010427099,-10.101336442932837,-8.933786385821723,-8.812330675054897,-9.149368726801871,-9.797578297
DS10DS10_2_0,56,-14.1797198662622,-10.216354194535297,-9.132113551515054,-9.09372904678308,-9.515612358849548,-10.25594453
DS10DS10_2_0,60,-14.22588249942324,-10.347731477093827,-9.356948593285725,-9.411625907439044,-9.928493740660514,-10.77160655
DS10DS10_2_0,64,-14.256809862386781,-10.44622713301831,-9.528789552386105,-9.65603201231732,-10.24747164844328,-11.17267701
DS10DS10_2_0,68,-14.294993176881487,-10.56111577514202,-9.727176421660836,-9.937020593062401,-10.613171882169258,-11.63104324
DS10DS10_2_0,72,-14.332939262842213,-10.675994374026619,-9.925620690605868,-10.217954914662268,-10.97877393512551,-12.08940948
